page4-elem2,40 Blogs in 40 Days.
page4-elem2,Many IBM partners want to understand how to scale their offerings to reach new markets.
page4-elem2,Technically this often translates to two technologies: Kubernetes Operators and SaaS (Software as a Service).
page4-elem2,As I’m working with IBM partners my team has created several assets for our co-creation engagements.
page4-elem2,Below is the list of blogs about these topics.
page4-elem2,Over the last 40 (business) days I’ve written 40 blogs.
page4-elem2,As always thanks a lot for your feedback!
page4-elem2,Operators – Overview and Scenarios
page4-elem2,* Why you should build Kubernetes Operators [http://heidloff.net/article/why-you-should-build-kubernetes-operators/]
page4-elem2,* Day 2 Scenario: Automatically Archiving Data [http://heidloff.net/article/automatically-archiving-data-kubernetes-operators/]
page4-elem2,* Day 2 Scenario: Automatically Scaling of Applications [http://heidloff.net/article/scaling-applications-automatically-operators/]
page4-elem2,* The Kubernetes Operator Metamodel [http://heidloff.net/article/the-kubernetes-operator-metamodel/]
page4-elem2,Go based Operators
page4-elem2,* Creating and updating Resources [http://heidloff.net/article/updating-resources-kubernetes-operators/]
page4-elem2,* Deleting Resources [http://heidloff.net/article/deleting-resources-kubernetes-operators/]
page4-elem2,* Storing State of Resources with Conditions [http://heidloff.net/article/storing-state-status-kubernetes-resources-conditions-operators-go/]
page4-elem2,* Finding out the Kubernetes Versions and Capabilities [http://heidloff.net/article/finding-kubernetes-version-capabilities-operators/]
page4-elem2,* Configuring Webhooks [http://heidloff.net/article/configuring-webhooks-kubernetes-operators/]
page4-elem2,* Initialization and Validation Webhooks [http://heidloff.net/article/developing-initialization-validation-webhooks-kubernetes-operators/]
page4-elem2,* Converting Custom Resource Versions [http://heidloff.net/article/converting-custom-resource-versions-kubernetes-operators/]
page4-elem2,* Defining Dependencies [http://heidloff.net/article/defining-dependencies-kubernetes-operators/]
page4-elem2,* Exporting Metrics from Kubernetes Apps for Prometheus [http://heidloff.net/article/exporting-metrics-kubernetes-applications-prometheus/]
page4-elem2,* Accessing Kubernetes from Go Applications [http://heidloff.net/article/accessing-kubernetes-from-go-applications/]
page4-elem2,* How to build your own Database on Kubernetes [http://heidloff.net/article/how-to-build-your-own-database-on-kubernetes/]
page4-elem2,* Building Databases on Kubernetes with Quarkus [http://heidloff.net/quarkus/building-databases-kubernetes-quarkus/]
page4-elem2,* Manually deploying Operators to Kubernetes [http://heidloff.net/article/manually-deploying-operators-to-kubernetes/]
page4-elem2,* Deploying Operators with the Operator Lifecycle Manager [http://heidloff.net/article/deploying-operators-operator-lifecycle-manager-olm/]
page4-elem2,* Importing Go Modules in Operators [http://heidloff.net/article/importing-go-modules-kubernetes-operators/]
page4-elem2,* Accessing third Party Custom Resources in Go Operators [http://heidloff.net/article/accessing-third-party-custom-resources-go-operators/]
page4-elem2,* Using object-oriented Concepts in Golang based Operators [http://heidloff.net/article/object-oriented-concepts-golang/]
page4-elem2,Quarkus based Operators
page4-elem2,* Developing Quarkus and Web Applications locally [http://heidloff.net/article/developing-quarkus-and-web-application-locally/]
page4-elem2,* Developing and Debugging Kubernetes Operators in Java [http://heidloff.net/article/developing-debugging-kubernetes-operators-java/]
page4-elem2,* Accessing Kubernetes Resources from Java Operators [http://heidloff.net/article/accessing-kubernetes-resources-from-java-operators]
page4-elem2,* Leveraging third party Operators in Kubernetes Operators [http://heidloff.net/article/leveraging-third-party-operators-in-kubernetes-operators/]
page4-elem2,* Creating Database Schemas in Kubernetes Operators [http://heidloff.net/article/creating-database-schemas-kubernetes-operators/]
page4-elem2,* Resources to build Kubernetes Operators [http://heidloff.net/articles/resources-to-build-kubernetes-operators/]
page4-elem2,SaaS Reference Architecture and DevSecOps
page4-elem2,* New Open-Source Multi-Cloud Asset to build SaaS [http://heidloff.net/article/open-source-multi-cloud-assets-saas]
page4-elem2,* How to build SaaS for multiple Tenants [http://heidloff.net/article/how-to-build-saas-for-multiple-tenants/]
page4-elem2,* Accessing Postgres from Quarkus Containers via TLS [http://heidloff.net/article/accessing-postgres-from-quarkus-containers-via-tls/]
page4-elem2,* Typical Authentication Flow for Kubernetes Applications [http://heidloff.net/article/typical-authentication-flow-kubernetes-applications/]
page4-elem2,* Containerizing Web Applications [http://heidloff.net/article/containerizing-web-applications/]
page4-elem2,* Containerizing Quarkus Applications [http://heidloff.net/article/containerizing-quarkus-applications/]
page4-elem2,* DevSecOps for SaaS Reference Architecture on OpenShift [http://heidloff.net/article/devsecops-saas-reference-architecture-openshift/]
page4-elem2,* Tekton without Tekton in DevSecOps Pipelines [http://heidloff.net/article/tekton-without-tekton-devsecops-pipelines/]
page4-elem2,* Developing Serverless Toolchains [http://heidloff.net/article/developing-serverless-toolchains/]
page4-elem2,* Deploying Serverless SaaS with Serverless Toolchains [http://heidloff.net/article/deploying-serverless-saas-with-serverless-toolchains/]
page4-elem2,* Shift-Left Continuous Integration with DevSecOps Pipelines [http://heidloff.net/article/shift-left-continuous-integration-devsecops-pipelines/]
page4-elem2,* Change Evidence and Issue Management with DevSecOps [http://heidloff.net/article/change-evidence-issue-management-devsecops/]
page4-elem2,* Continuous Delivery with DevSecOps Reference Architecture [http://heidloff.net/article/continuous-delivery-ibm-devsecops-reference-architecture/]
page4-elem2,The post 40 Blogs in 40 Days [http://heidloff.net/article/40-blogs-in-40-days/] appeared first on Niklas Heidloff [http://heidloff.net].
